"thread_name","post_content","post_date"
"b'Unofficial GOG API Documentation'","b""[quote_27]#Q&_^Q&Q#AVATAR:https://images.gog.com/012b5223b56b6a969af8ff9c131cdb39a6cd6dd1bc99741cfd9b2f9094b5a492_avm.jpg#Q&_^Q&Q#USERNAME:WinterSnowfall#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:27#Q&_^Q&Q# \n   Thanks a lot for putting this together, incidentally I ended up using it as reference for a script I wrote (never though I'd see the day). \n  \n   I'd like to make one small mention about [url=https://gogapidocs.readthedocs.io/en/latest/galaxy.html#get--products ]https://gogapidocs.readthedocs.io/en/latest/galaxy.html#get--products [/url], at least as it currently stands, the upper limit of ids you can include in a single request is set to 50. Anything above 50 will return the fabled GOGBear. \n  #Q&_^Q&Q#LINK:27#Q&_^Q&Q#[/quote] \n  \n Thanks, added that to the description.""","2017-01-22 22:20:06"
"b'Unofficial GOG API Documentation'","b'[quote_29]#Q&_^Q&Q#AVATAR:https://images.gog.com/3f9e109ac09308f7d52c607c8571e63d5fb482acca499a83e767dfff7f00d57d_avm.jpg#Q&_^Q&Q#USERNAME:jamieadkins95#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:29#Q&_^Q&Q# \n   I\'m having trouble with authentication. \n  \n   Using this call: \n  \n   auth?client_id=46899977096215655&amp;layout=client2&amp;redirect_uri=http%3A%2F%2F127.0.0.1%3A37431%2Ftoken&amp;response_t ype=code \n  \n   I\'m getting this response: \n  \n   {""error"":""redirect_uri_mismatch"",""error_description"":""The redirect URI provided does not match registered URI(s).""} \n  #Q&_^Q&Q#LINK:29#Q&_^Q&Q#[/quote] \n  \n Crap, they changed the way authentication works and it only allows registered URLs now. As we have no way to register our own clients, this makes everything a lot more complicated. I\'ll try to figure something out as soon as possible.'","2017-02-10 19:28:10"
"b'Unofficial GOG API Documentation'","b""[quote_31]#Q&_^Q&Q#AVATAR:https://images.gog.com/90bcd72cbafefcb1cac8a222be939d8a06921eec50e7e184a5cfc36295f50479_avm.jpg#Q&_^Q&Q#USERNAME:Barefoot_Monkey#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:31#Q&_^Q&Q# \n   Seems like it. I tried the projects I have that use authentication and they have the same result. \n  \n   You know, there was a serious security problem with the way it had been working. You could have a website which used auth.gog.com to allow users to log in and they would think it was similar to logging into a site through Steam. In fact, GOG's auth page is completely different. If you log into a site through Steam all you're doing is proving that you are the owner of that Steam account. With auth.gog.com you are actually authorising a token that gives the site near-complete control of your GOG profile - [u]but[/u] very few people would expect that behaviour so it would be perfect for scamming. (although to my knowledge nobody has tried this so far). \n  \n   This risk has been bothering me for a while and I actually decided just a moment ago to come to this very thread to warn about signing into strangers' sites through auth.gog.com and suggest that GOG limit authentication to certain registered domains. It's quite a coincidence to come here just a few hours after jamieadkins95 discovered that that had already done this. \n  \n   It's a good thing, really, but it also sucks because now we lack 2 important services: a way for our custom tools to access our accounts, and a way for users to verify their accounts to 3rd party sites [i]without[/i] handing over the keys in the process. \n  #Q&_^Q&Q#LINK:31#Q&_^Q&Q#[/quote] \n  \n I know, the previous implementation was insecure and violated the OAuth2 standard. I'm glad they fixed it, but suck that there's no secure alternative. \n  \n  [quote_31]#Q&_^Q&Q#AVATAR:https://images.gog.com/90bcd72cbafefcb1cac8a222be939d8a06921eec50e7e184a5cfc36295f50479_avm.jpg#Q&_^Q&Q#USERNAME:Barefoot_Monkey#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:31#Q&_^Q&Q# \n   Well, I guess it's time to go back to trying to reverse-engineer Galaxy to see how it's done there. \n  #Q&_^Q&Q#LINK:31#Q&_^Q&Q#[/quote] \n  \n There's no need to, I've been there already. The Galaxy client redirects to a gog.com URL, which is trusted by the login site. Native code has to get the token from the internal browser. \n  \n  [quote_32]#Q&_^Q&Q#AVATAR:https://images.gog.com/012b5223b56b6a969af8ff9c131cdb39a6cd6dd1bc99741cfd9b2f9094b5a492_avm.jpg#Q&_^Q&Q#USERNAME:WinterSnowfall#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:32#Q&_^Q&Q# \n   It's not the only thing they changed in order to ramp up security. \n  \n   I'm having trouble with calling the products APIs, as it seems they've added a throttling filter that automatically bans your IP if you reach a certain risk criteria (I'm using this fancy placeholder as I haven't been able to figure out if it's based only on the number of requests per time limit or other factors as well, when it triggers, how long the ban lasts etc). \n  \n   I'm still trying to figure out the best way to circumvent it without having to wait half a year to map the entire id range. \n  #Q&_^Q&Q#LINK:32#Q&_^Q&Q#[/quote] \n  \n I'm requesting each product individually and haven't noticed a problem. The download time is not that bad if you cache them for a day. Maybe I or someone else can create daily dumps and upload them somewhere.""","2017-02-11 02:37:08"
"b'Unofficial GOG API Documentation'","b'I figured out a workaround until we find something better. The on_login_success page does not automatically redirect, so you can have the user manually copy the login code. Open [url=https://auth.gog.com/auth?client_id=46899977096215655&amp;redirect_uri=https%3A%2F%2Fembed.gog.com%2Fon_login_success%3Forigin%3Dclient&amp;response_type=code&amp;layout=client2]https://auth.gog.com/auth?client_id=46899977096215655&amp;redirect_uri=https%3A%2F%2Fembed.gog.com%2Fon_login_success%3Forigin%3Dclient&amp;response_type=code&amp;layout=client2[/url] and after the redirect there should be a &amp;code= parameter in the url. This is the code to use for a token request. I have an ugly but functioning implementation at [url=https://github.com/Yepoleb/pygogapi/blob/master/gogapi.py#L508]https://github.com/Yepoleb/pygogapi/blob/master/gogapi.py#L508[/url]'","2017-02-11 04:50:29"
"b'Ye olde GOG product ids public API charting enterprise'","b""I think 2,147,483,647 should be the highest possible ID. It's equal to 2^31 - 1, which is the upper limit for a 32 bit signed integer type. Anything higher than that would be a huge waste of storage space.""","2017-02-11 18:56:15"
"b'Unofficial GOG API Documentation'","b""[quote_35]#Q&_^Q&Q#AVATAR:https://images.gog.com/012b5223b56b6a969af8ff9c131cdb39a6cd6dd1bc99741cfd9b2f9094b5a492_avm.jpg#Q&_^Q&Q#USERNAME:WinterSnowfall#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:35#Q&_^Q&Q# \n   The new reality is that the GOGBear throttles us all! \n  #Q&_^Q&Q#LINK:35#Q&_^Q&Q#[/quote] \n We need to stop him! He can't go around oppressing innocent developers all over the world. Grab your digital pitchforks and start going into the streets! Follow the lead of our savior WinterSnowfall! \n  \n To be fair, I don't think throttling after so many requests is unreasonable. You're probably causing more load than all the other users together. \n  \n Edit: Actually, let's not go into the streets. Leaving the house is not something a programmer should do, as he becomes very vulnerable against social interaction. We can protest from our rooms.""","2017-02-11 20:06:51"
"b'Ye olde GOG product ids public API charting enterprise'","b""[quote_58]#Q&_^Q&Q#AVATAR:https://images.gog.com/a8ab2f8d69429a7d74e353b1bca48bd0a2ecbd3d2cd1cc9267ee46ae07eaf3e7_avm.jpg#Q&_^Q&Q#USERNAME:JMich#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:58#Q&_^Q&Q# \n   But why used signed for IDs instead of unsigned? Same amount of space, double the possible IDs. \n  #Q&_^Q&Q#LINK:58#Q&_^Q&Q#[/quote] \n  \n Because it makes things more complicated with no benefit. If 2 billion isn't big enough, 4 billion most likely won't be either. Nobody wants to take the big risk of hitting a limit for the tiny benefit of saving a few bytes. Databases don't grow linearly, otherwise Google would probably be running on a single Raspberry Pi now. In short: If you're worried about space, just go with the bigger type instead of messing with unsigned.""","2017-02-11 20:31:40"
"b'Ye olde GOG product ids public API charting enterprise'","b""[quote_65]#Q&_^Q&Q#AVATAR:https://images.gog.com/012b5223b56b6a969af8ff9c131cdb39a6cd6dd1bc99741cfd9b2f9094b5a492_avm.jpg#Q&_^Q&Q#USERNAME:WinterSnowfall#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:65#Q&_^Q&Q# \n   Oh, and one more potentially interesting thing (for some people, at least)... here's a full export of all the companies (developers/publishers) currently listed by GOG: [url=https://dl.dropboxusercontent.com/u/1845258/gog_companies_15022017.csv]https://dl.dropboxusercontent.com/u/1845258/gog_companies_15022017.csv[/url] \n  \n   I've generated it using one of the new scripts I'm working on for the second full mapping run. I plan on adding the associated author/publisher to each of the ids that I detect, though this is not something that's returned by the products API and I have to do some side-ways maneuvering and some other queries in order to get it. \n  #Q&_^Q&Q#LINK:65#Q&_^Q&Q#[/quote] \n  \n Where do you get the developer information from? I'm currently using the gogData variable on store pages, but maybe there's a better way.""","2017-02-17 02:03:10"
"b'Unofficial GOG API Documentation'","b'[quote_39]#Q&_^Q&Q#AVATAR:https://images.gog.com/dd3243b35780d772bfe31725a8fc33f78822a02e5aeb5f00b930d9441133d35a_avm.jpg#Q&_^Q&Q#USERNAME:bernstein82#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:39#Q&_^Q&Q# \n   Has anyone any better ideas about how to query for installed gog games &amp; associated information ? \n  \n   The best way i came up with was querying the Registry : \'HKLM\\SOFTWARE\\Wow6432Node\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\\' \n  #Q&_^Q&Q#LINK:39#Q&_^Q&Q#[/quote] \n  \n There should be a subkey for each (manually installed?) game in ""HKLM\\SOFTWARE\\GOG.com\\Games\\"". Can\'t verify that though atm, as I\'m just looking at the innosetup script and don\'t have time to boot up Windows. Are you just interested in the manually installed games or all?'","2017-02-19 08:04:20"
"b'Ye olde GOG product ids public API charting enterprise'","b""That explains why I got an error trying to query [url=https://api.gog.com/products/1691391100?expand=downloads,expanded_dlcs,description,screenshots,videos,related_products,changelog]https://api.gog.com/products/1691391100?expand=downloads,expanded_dlcs,description,screenshots,videos,related_products,changelog[/url] (Double Fine Adventure Definitive Edition). It's a movie that somehow found its way into the games section. If you remove downloads it works, at least in this specific case. Good to know why it failed.""","2017-02-20 23:31:04"
"b'Ye olde GOG product ids public API charting enterprise'","b""[quote_74]#Q&_^Q&Q#AVATAR:https://images.gog.com/012b5223b56b6a969af8ff9c131cdb39a6cd6dd1bc99741cfd9b2f9094b5a492_avm.jpg#Q&_^Q&Q#USERNAME:WinterSnowfall#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:74#Q&_^Q&Q# \n      [quote_72]#Q&_^Q&Q#AVATAR:https://images.gog.com/3f9e109ac09308f7d52c607c8571e63d5fb482acca499a83e767dfff7f00d57d_avm.jpg#Q&_^Q&Q#USERNAME:Yepoleb#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:72#Q&_^Q&Q# \n       If you remove downloads it works, at least in this specific case. Good to know why it failed. \n      #Q&_^Q&Q#LINK:72#Q&_^Q&Q#[/quote]#Q&_^Q&Q#AVATAR:https://images.gog.com/012b5223b56b6a969af8ff9c131cdb39a6cd6dd1bc99741cfd9b2f9094b5a492_avm.jpg#Q&_^Q&Q#USERNAME:WinterSnowfall#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:74#Q&_^Q&Q# \n      [quote_73]#Q&_^Q&Q#AVATAR:https://images.gog.com/5cb1f67104eef16daab39c9b092f413beda0163fb4916f85f0d0a1d194d95b89_avm.jpg#Q&_^Q&Q#USERNAME:SCPM#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:73#Q&_^Q&Q# \n       Just so you know, you can get a response as long as you drop 'downloads' as one of the parameters. =\\ \n      #Q&_^Q&Q#LINK:73#Q&_^Q&Q#[/quote]#Q&_^Q&Q#AVATAR:https://images.gog.com/012b5223b56b6a969af8ff9c131cdb39a6cd6dd1bc99741cfd9b2f9094b5a492_avm.jpg#Q&_^Q&Q#USERNAME:WinterSnowfall#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:74#Q&_^Q&Q# \n   Thanks guys! I was trying to stay away from recursive functions, but I might as well include one now for all those pesky movie entries :). \n  #Q&_^Q&Q#LINK:74#Q&_^Q&Q#[/quote] \n Recursive functions? It should be a simple if response.status == 500 then retry without downloads. \n  \n  [quote_74]#Q&_^Q&Q#AVATAR:https://images.gog.com/012b5223b56b6a969af8ff9c131cdb39a6cd6dd1bc99741cfd9b2f9094b5a492_avm.jpg#Q&_^Q&Q#USERNAME:WinterSnowfall#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:74#Q&_^Q&Q# \n      [quote_72]#Q&_^Q&Q#AVATAR:https://images.gog.com/3f9e109ac09308f7d52c607c8571e63d5fb482acca499a83e767dfff7f00d57d_avm.jpg#Q&_^Q&Q#USERNAME:Yepoleb#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:72#Q&_^Q&Q# \n       It's a movie that somehow found its way into the games section. \n      #Q&_^Q&Q#LINK:72#Q&_^Q&Q#[/quote]#Q&_^Q&Q#AVATAR:https://images.gog.com/012b5223b56b6a969af8ff9c131cdb39a6cd6dd1bc99741cfd9b2f9094b5a492_avm.jpg#Q&_^Q&Q#USERNAME:WinterSnowfall#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:74#Q&_^Q&Q# \n   Trust me, there's more than one. \n  #Q&_^Q&Q#LINK:74#Q&_^Q&Q#[/quote] \n It's the only one that brought out the gogbear for me so far.""","2017-02-20 23:54:15"
"b'To CD Projekt Red - bring Witcher 3 and your other games to Linux please.'","b'[quote_327]#Q&_^Q&Q#AVATAR:https://images.gog.com/7fe0cd16ab78d0c4827409ff47f10d1dad5a67b29263729df913cbff46aecf21_avm.jpg#Q&_^Q&Q#USERNAME:shmerl#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:327#Q&_^Q&Q# \n   You are mixing it up with the first MacOS version of TW1. TW2 for Linux uses eON wrapper from VP. The way such games work is similar to Wine, except they do static translation, rather than dynamic. I.e. Wine redirects calls at runtime, and translates Windows API into Linux equivalent functionality. Static translation on the other hand uses the source code, so it can be more focused and less generic. That\'s what Feral do as well. I\'d say it performs pretty well. Of course it\'s still not a normal engine rewrite. But it\'s clearly a cheap way to make such a port. \n  #Q&_^Q&Q#LINK:327#Q&_^Q&Q#[/quote] \n  \n eON does not do static translation, it loads a Windows executable exactly like Wine. For TW2 the ""witcher2"" may look like a native binary, but the actual game seems to be inside ""witcher2.vpfs"". If you take a look inside that, it immediately starts with a PE header, easy to identify by the ""This program cannot be run in DOS mode"" string. But that\'s probably not the reason why Virtual Programming ports are so hated, as Wine can yield acceptable performance, even without any customization. From my experience they\'re just really shitty at dealing with support and often keep issues unresolved for a long time. Feral and Aspyr do use static translation and have a much better reputation inside the Linux gaming community.'","2017-02-24 04:18:06"
"b'Valve made trading even more a hassle'","b'Sucks for people who want to buy some games in sales and gift them later, but their decision totally makes sense, considering how much the old system was abused to get around regional pricing.'","2017-05-04 23:08:15"
"b'Regional currencies'","b'Do regional currencies have any functional benefits, aside from slightly better conversion rates?'","2017-05-05 03:44:14"
"b'Galaxy Support Folder Delete?'","b""The support folder contains files that are used for configuring applications installed by GOG Galaxy. Removing it will probably cause problems when updating or uninstalling your games. I wouldn't recommend removing it.""","2017-05-07 01:40:17"
"b'Error when Downloading GOG Galaxy'","b'Something is preventing the installer from copying its files. Make sure it is run with Administrator privileges and deactivate your antivirus (if you have one) during the installation.'","2017-05-23 03:30:44"
"b'Ye olde GOG product ids public API charting enterprise'","b""Can you give me an estimate of how many requests per minute are allowed? I'm only scanning the ~2000 existing games, so it can be on the lower side.""","2017-05-23 06:35:28"
"b'Ye olde GOG product ids public API charting enterprise'","b'[quote_111]#Q&_^Q&Q#AVATAR:https://images.gog.com/012b5223b56b6a969af8ff9c131cdb39a6cd6dd1bc99741cfd9b2f9094b5a492_avm.jpg#Q&_^Q&Q#USERNAME:WinterSnowfall#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:111#Q&_^Q&Q# \n   Apparently even the new Bethesda games will earn you the right to a free copy of Arena and Daggerfall. This was not the case until today. \n  #Q&_^Q&Q#LINK:111#Q&_^Q&Q#[/quote] \n  \n There must not be a single customer on GOG who does not own a copy of Arena and Daggerfall!'","2017-06-09 01:40:32"
"b'Unofficial GOG API Documentation'","b'Just pushed a minor update for account endpoints, mostly tags and settings. \n  \n Edit: Also hello @shmerl, I was expecting you :D'","2017-06-11 06:24:35"
"b'GOG Database - A website that collects data on GOG games'","b""[url=https://www.gogdb.org]GOG Database[/url] collects data from the store pages and Galaxy APIs and makes it accessible on a single page for each game. Currently its uses are a bit limited and mostly developer focused, but I have many ideas of features that could be useful for all players. As the name suggests, this project has been heavily inspired by [url=https://steamdb.info]Steam Database[/url], you should definitely check them out if you're a Steam user. \n  \n Current features: \n * Downloads list \n * Basic API data \n * Dollar price tracking \n * Store info tracking \n * Download tracking \n  \n Planned features: \n * File tracking \n  \n Rejected features: \n * Regional price tracking \n  \n The site can be found at [url=https://www.gogdb.org]http://www.gogdb.org[/url]. \n Database dumps are available at [url=https://www.gogdb.org/backups]https://www.gogdb.org/backups_v2[/url]/""","2017-06-15 03:09:42"
"b'Unofficial GOG API Documentation'","b""I just made public my new project called GOG Database, if you're interested in API stuff you'll probably like it: [url=https://www.gog.com/forum/general/gog_database_a_website_that_collects_data_on_gog_games]https://www.gog.com/forum/general/gog_database_a_website_that_collects_data_on_gog_games[/url]""","2017-06-15 04:53:53"
"b'GOG Database - A website that collects data on GOG games'","b'[quote_4]#Q&_^Q&Q#AVATAR:https://images.gog.com/7fe0cd16ab78d0c4827409ff47f10d1dad5a67b29263729df913cbff46aecf21_avm.jpg#Q&_^Q&Q#USERNAME:shmerl#Q&_^Q&Q#GROUP:4#Q&_^Q&Q#LINK:4#Q&_^Q&Q# \n   Thanks for doing this! How often do you pull data? \n  \n   I found some mistakes which might indicate some bug I guess. For instance The Witcher 2 release date is listed as ""December 25, 1991 (25 years ago)"" which is clearly wrong: \n  \n   [url=http://gogdb.yepoleb.me/product/1207658930]http://gogdb.yepoleb.me/product/1207658930[/url] \n  #Q&_^Q&Q#LINK:4#Q&_^Q&Q#[/quote] \n  \n I currently update every 6 hours. I have already noticed the problem with the release dates, but that\'s actually what the Galaxy API returns. It looks like the store page shows the correct date, so I\'m planning to prefer that if it\'s available. Thanks for reminding me to fix it!'","2017-06-15 07:03:06"
